id,first_date
CIC-ee110848-13ca-54ce-8d59-a5b8cca5dca4,2022-12-29
CIC-8fbdaa78-d4e9-5628-961d-0c3a3e349a3a,2022-12-29
CIC-508dcbb1-3f64-5ccf-93b0-8422598b5999,2022-12-29
CIC-af210c17-40f1-558b-a6f3-76e0d97b6182,2022-12-29
CIC-a866e031-3d26-5aea-833e-af8f13ac9fa1,2022-12-29
CIC-8ec8401c-7b6f-5243-a3fc-8fae1808e879,2022-12-29
CIC-1e9d135b-618a-531f-b030-c24d917509dc,2022-12-29
CIC-5d2d3830-2c87-565b-bef8-e8d51739a3ca,2022-12-29
CIC-8eb06ebd-7451-501c-a082-8f4afadaeb6b,2022-12-29
CIC-ff082984-aa34-544f-b3c4-6ad2fed5b2b8,2022-12-29
CIC-90000ee8-c9b2-5910-983e-d86feb32d837,2022-12-29
CIC-e7b616fc-ce62-5042-93ce-392ffbc8da7f,2022-12-29
CIC-e756cd21-397b-55d6-b139-a777d6566921,2022-12-29
CIC-5c0fae75-e561-5473-81a2-1a29d34c7e30,2022-12-29
CIC-1c43850c-2b43-5838-82df-c60da8b24985,2022-12-29
CIC-ab0232b6-25bd-52d2-96cd-443e62d43d14,2022-12-29
CIC-eae63197-ed1b-577a-8c2f-7ec5753975e0,2022-12-29
CIC-58a03dce-9ecc-5396-81f9-b9e0a02635ff,2022-12-29
CIC-e52a0f5f-a4fc-5d56-8718-ef106d9cd039,2022-12-29
CIC-51094ae8-c89c-5010-966f-9a568835d62e,2022-12-29
CIC-eddf8441-8c71-5b7b-89f3-c2e271714626,2022-12-29
CIC-9048e9b8-ca9a-5525-9e0b-5a2b503a412e,2022-12-29
CIC-7c30199b-35db-5b64-a896-3a84d818e5fe,2022-12-29
CIC-0084fc13-f765-505f-ac5f-ecfd36eab409,2022-12-29
CIC-9c78e008-cb51-5683-b131-388292e16f1a,2022-12-30
CIC-2feda0e1-c477-5f28-9f51-2ee9e5a69bdc,2022-12-30
